title,actor,time,realtimeBoxOffice,totalBoxOffice
名侦探柯南：绯色的子弹,"高山南,山崎和佳奈,小山力也",2021-04-17,707.2万,1.26亿
我的姐姐,"张子枫,肖央,朱媛媛",2021-04-02,668.3万,7.91亿
指环王：护戒使者,"伊莱贾·伍德,伊恩·麦克莱恩,西恩·奥斯汀",2002-04-04,446.4万,9181.0万
哥斯拉大战金刚,"哥斯拉,金刚,亚历山大·斯卡斯加德",2021-03-26,391.3万,11.68亿
八月未央,"钟楚曦,罗晋,谭松韵",2021-04-16,268.9万,4583.0万
平安中国之守护者,"赵刚,宁南,王琳娜",2021-03-19,80.6万,4449.0万
第十一回,"陈建斌,周迅,大鹏",2021-04-02,51.0万,6964.0万
西游记之再世妖王,"边江,张磊,蔡海婷",2021-04-02,38.1万,1.00亿
阿凡达,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",2010-01-04,23.9万,17.13亿
歌声的翅膀,"夏望,张颖冰,玉米提",2021-03-28,21.3万,1454.0万
